product_name,price,quantity,date_sold,category
Unknown,1280.66,4,2025-07-05,clothing
Dog Chair,493.56,18,2024-10-12,electronics
Require Sit,1355.02,70,2025-09-14,electronics
Begin Performance,1183.03,5,2026-01-06,electronics
All Better,191.92,30,2025-01-27,books
Mouth Play,1206.03,72,2024-08-31,clothing
Decide Sense,1433.46,46,2024-04-13,books
Offer Kind,841.94,58,2025-07-13,furniture
Perform Fall,559.99,1,2024-09-02,electronics
According Song,1397.79,44,2025-11-06,electronics
Save Knowledge,315.18,98,2025-11-04,clothing
Clearly Dinner,1183.03,49,2024-11-28,electronics
Great Blue,721.16,45,,furniture
Bill Her,532.72,6,2024-05-31,books
Pm Everything,1074.78,49,2025-12-04,electronics
Show Machine,1106.32,81,2025-11-05,furniture
Unknown,1771.48,47,2025-04-20,furniture
Finally Themselves,388.62,9,2024-05-21,electronics
Value Training,1324.22,99,2025-06-27,clothing
Dark Sea,1970.52,46,2024-12-14,electronics
Recently Drive,763.35,59,2024-05-14,clothing
Base Top,329.49,46,2025-10-11,clothing
Blood Husband,1342.0,90,2024-09-11,electronics
Prove They,1220.22,22,2024-10-14,books
Hospital Hear,1459.61,21,2024-12-16,books
Example Science,762.01,82,2024-08-25,books
Raise Away,443.13,42,2026-02-07,electronics
Congress None,461.95,5,2025-06-13,clothing
Common Maintain,805.32,9,2025-09-08,clothing
Wish Push,1826.71,73,2024-12-27,clothing
Discuss Reveal,429.19,64,2025-08-10,books
Special Stand,1769.94,83,2024-11-17,books
Unknown,1183.03,46,2024-05-04,clothing
Institution Executive,1491.25,69,2025-11-03,clothing
White Yes,1495.29,55,2024-05-12,furniture
Serious Forward,801.8,29,2025-05-13,electronics
Money Individual,1021.5,12,2024-08-27,electronics
Question Low,1722.9,20,2025-12-31,electronics
Chair Employee,1585.2,55,,furniture
Nothing Everyone,131.74,49,2025-09-20,furniture
Later Water,1992.26,46,2025-09-22,clothing
High Discuss,1942.3,2,2025-05-25,electronics
Certainly Mr,1365.01,69,2026-03-24,clothing
Someone Anyone,1538.35,44,2025-03-20,electronics
Claim Product,590.53,21,2025-12-14,books
